"TID","RID","t_vehiclppE","r_vehiclppE","t_vehiclppM","r_vehiclppM","t_vehiclppCV","r_vehiclppCV"
"g37119003204",50,0.7248157248157249,0.7734565524322937,0.10661510785280087,0.05306556951371653,0.08941805964883819,0.041707197088338116
"g37119003400",50,0.7808421052631579,0.7734565524322937,0.09306971766291353,0.05306556951371653,0.07245682012271788,0.041707197088338116
"g37119003300",50,0.7662860980523841,0.7734565524322937,0.09727799741291382,0.05306556951371653,0.07717164762304099,0.041707197088338116
"g37119003103",50,0.8049151805132666,0.7734565524322937,0.11665776896603859,0.05306556951371653,0.08810440975138494,0.041707197088338116
"g37119004700",51,0.24213836477987422,0.464270432178006,0.06500807214491988,0.029882535624999,0.16320662331413194,0.03912735744715737
"g37119004500",51,0.3106060606060606,0.464270432178006,0.06526323980654337,0.029882535624999,0.12772996744701204,0.03912735744715737
"g37119004100",51,0.5957446808510638,0.464270432178006,0.08908011140835506,0.029882535624999,0.09089807286566844,0.03912735744715737
"g37119005100",51,0.35571542765787373,0.464270432178006,0.10705782287260064,0.029882535624999,0.1829573257930035,0.03912735744715737
"g37119004800",51,0.4852801519468186,0.464270432178006,0.08978400194949542,0.029882535624999,0.11247099263357344,0.03912735744715737
"g37119004302",51,0.6211506326092147,0.464270432178006,0.10975379847156083,0.029882535624999,0.10741297010187821,0.03912735744715737
"g37119004305",51,0.46694560669456064,0.464270432178006,0.09735900683956356,0.029882535624999,0.1267488241475509,0.03912735744715737
"g37119004600",51,0.3962782184258694,0.464270432178006,0.07090544602413465,0.029882535624999,0.10877109212703408,0.03912735744715737
"g37119003600",51,0.5646325459317585,0.464270432178006,0.09260396746504884,0.029882535624999,0.09970060272212872,0.03912735744715737
"g37119005000",51,0.437219730941704,0.464270432178006,0.12371440069670747,0.029882535624999,0.172010358384324,0.03912735744715737
"g37119004200",51,0.4450532724505327,0.464270432178006,0.10120116108090355,0.029882535624999,0.13823168252290785,0.03912735744715737
"g37119005832",52,0.6701554075483667,0.6971938775510204,0.06933452472277592,0.049724843647205016,0.06289384040349795,0.04335647436366367
"g37119005833",52,0.715382974183913,0.6971938775510204,0.06881568295041463,0.049724843647205016,0.05847670887452662,0.04335647436366367
